Text;kategori
Selamat! Anda memenangkan hadiah uang tunai sebesar Rp10.000.000. Klik tautan ini untuk klaim hadiah Anda.;Fraud
Bank Anda membutuhkan verifikasi akun. Silakan kirimkan informasi pribadi Anda untuk menghindari pemblokiran.;Fraud
Kami dari perusahaan undian XYZ, Anda terpilih sebagai pemenang. Segera hubungi nomor ini untuk klaim.;Fraud
Pembayaran Anda gagal. Silakan masukkan ulang informasi kartu kredit Anda di sini.;Fraud
Akun Anda telah dibekukan. Verifikasi sekarang untuk menghindari masalah lebih lanjut.;Fraud
Anda mendapatkan diskon 50% untuk pembelian berikutnya. Klik di sini untuk detail lebih lanjut.;Fraud
Nomor Anda terpilih untuk menerima voucher belanja gratis. Isi formulir ini untuk klaim.;Fraud
Transaksi mencurigakan terdeteksi di akun Anda. Segera login untuk mengamankan akun.;Fraud
Selamat! Anda memenangkan perjalanan gratis ke Bali. Klik di sini untuk informasi lebih lanjut.;Fraud
Kartu kredit Anda akan diblokir. Perbarui informasi Anda di sini untuk menghindari pemblokiran.;Fraud
Kami mendeteksi aktivitas tidak biasa di akun PayPal Anda. Silakan login untuk verifikasi.;Fraud
Akun email Anda hampir penuh. Klik di sini untuk meningkatkan kapasitas penyimpanan Anda.;Fraud
Anda mendapatkan hadiah spesial dari Bank ABC. Klik di sini untuk klaim hadiah Anda.;Fraud
Pengiriman paket Anda tertunda. Masukkan detail pengiriman Anda untuk memastikan pengiriman.;Fraud
Selamat! Anda memenangkan iPhone terbaru. Klik di sini untuk klaim hadiah.;Fraud
Ada masalah dengan akun Anda. Silakan verifikasi sekarang untuk menghindari pemblokiran.;Fraud
Kami dari layanan pelanggan XYZ, mohon kirimkan detail kartu kredit Anda untuk verifikasi.;Fraud
Anda mendapatkan bonus deposit sebesar Rp500.000. Masukkan informasi rekening Anda di sini.;Fraud
Akun Instagram Anda telah dikunci. Klik di sini untuk membuka kunci.;Fraud
Anda memenangkan undian dari perusahaan ABC. Hubungi kami segera untuk klaim hadiah.;Fraud
