IDE;Text;Fraud;Spam;Normal
1;Saya tidak lagi menjadi pemegang akun SunTrust. Saya dulu sampai saya menyadari seberapa tidak etisnya perusahaan itu. Biar saya jelaskan mengapa saya percaya begitu: Selama bertahun-tahun, SunTrust mengiklankan dan mempromosikan dengan huruf besar kartu debit XXXX XXXX mereka. Dengan kartu itu, pemegang akun bisa mendapatkan XXXX mil setiap {$1.00} yang dibelanjakan (untuk transaksi kartu debit dan kredit). SunTrust bahkan mengiklankan bahwa mereka tidak akan membatasi kemampuan pemegang kartu untuk mendapatkan mil. Selama XXXX bulan terakhir, SunTrust pasti telah meninjau portofolio kartu debit mereka dan apa yang mereka lakukan sebagai hasil dari tinjauan mereka sangat mengejutkan: Mereka menutup semua pemegang akun yang telah mendapatkan jumlah mil di atas rata-rata tanpa memandang jenis produk yang dibeli, tanpa memandang lamanya hubungan mereka dengan SunTrust, dan tanpa memandang jumlah uang di rekening checking mereka. Saya tahu setidaknya ada XXXX kasus di mana SunTrust menghubungi XXXX XXXX untuk meminta mil yang sudah diperoleh oleh pemegang kartu dibalikkan! SunTrust dengan jelas terlibat dalam apa yang umumnya disebut sebagai 'bait and switch', sebuah strategi pemasaran untuk membuat pelanggan mendaftar untuk sebuah produk (yang, oleh karena itu, membawa biaya tahunan sebesar {$75.00}) dan kemudian, begitu sejumlah mil tertentu diperoleh, rekening ditutup. Ini tidak dapat diterima dan merupakan pelanggaran peraturan. Jika SunTrust tidak segera menghentikan penutupan rekening dan membalikkan mil yang sudah diperoleh, saya akan memberitahukan sebuah firma hukum XXXX XXXX yang terkenal untuk mengejar tuntutan hukum kelompok terhadap SunTrust dan XXXX dan XXXX secara individu.;1;0;0
2;[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K;0;1;0
3;"Setelah menjadi pelanggan Citibank selama lebih dari 3 tahun, saya mengetahui malam ini bahwa saya tidak bisa menggunakan kartu debit saya meskipun memiliki saldo yang diverifikasi oleh Citibank sebesar {$900.00}. Ketika saya menghubungi Citibank, saya diberitahu bahwa cabang-cabang di Texas telah dibeli oleh XXXX XXXX XXXX dan karena itu, mereka, Citibank, tidak dapat memberikan akses ke akun saya. Saya diberitahu bahwa saya sudah diberitahu tentang hal ini melalui surat, meskipun tidak ada surat resmi atau korespondensi lain yang menunjukkan bahwa saya telah menerima pemberitahuan tersebut bisa disediakan. Setelah berbicara dengan seorang supervisor, tidak ada solusi yang tersedia selain bicara dengan bank baru besok. Saya merasa saya tidak berlebihan mengatakan bahwa ""layanan pelanggan"" ini sama dengan pencurian. Citibank membiarkan saya menyetor seluruh gaji saya ke rekening saya 3 hari yang lalu pada hari Jumat, dan pada hari Senin menolak saya akses ke uang saya! Seperti banyak orang Amerika, saya membayar sebagian besar hal dengan kartu debit dan jarang membawa uang tunai. Bagaimana mungkin sebuah bank menahan uang seseorang, tanpa penjelasan selain maaf tapi kami sudah mengirim surat? Absurd!";1;0;0
4;2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K;0;1;0
5;2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#;0;1;0
6;2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#;0;1;0
7;Ada dua komponen kejahatan bank yang saya temukan pagi ini. 1) Wells Fargo mengubah nomor rekening bank korporat saya tanpa memberi tahu saya. 2) Seorang pelanggan mencoba mengirimkan pembayaran elektronik kepada saya pada hari Jumat lalu melalui ACH. Saya tidak pernah menerima pembayaran tersebut. Setelah menghubungi Wells Fargo, mereka menjelaskan bahwa nomor rekening bank saya berubah. Saya kemudian mencoba menentukan kapan ini berubah dengan melihat laporan bank sebelumnya. Ketika saya menarik laporan bank saya tanggal XX/XX/2015 dari sistem perbankan online mereka, laporan tersebut mencerminkan NOMOR rekening BARU. Saya kemudian menarik salinan laporan bank saya tanggal XX/XX/2015 dari drive lokal saya yang sudah saya unduh kembali pada XXXX. Laporan-laporan XXXX BERBEDA. Artinya, sistem Perbankan Online Wells Fargo menampilkan informasi perbankan yang salah kepada konsumennya (yaitu kecurangan). Tidak jelas karena tidak ada yang menyelidiki apakah ini akibat dari kecurangan, kontrol internal yang lemah dalam proses TI mereka, atau alasan lainnya. Tidak seorang pun konsumen seharusnya menganggap bahwa informasi yang mereka terima dari Wells Fargo dapat dipercaya atau akurat.;1;0;0
8;Saya membuka rekening di PNC Bank XXXX XXXX, 2015. Saya menerima dokumen yang menunjukkan nomor Perutean XXXX, setoran {$25,00} ke Akun Dompet Virtual dan nomor konfirmasi XXXX. Saya menelepon PNC, di XXXX tentang tidak menerima nomor akun. Mereka tidak dapat menemukan akun saya menggunakan nomor konfirmasi atau nomor jaminan sosial saya. Mereka memiliki {$25.00} yang digunakan sebagai setoran awal.;1;0;0
9;Saya sedang belajar di XXXX tahun lalu dan membuka rekening dengan bank XXXX. Visa pelajar saya kemudian ditolak setelah kembali ke XXXX, yang berarti saya tidak akan bisa kembali ke XXXX. Untuk mendapatkan kembali dana tersebut, saya telah menelepon bank XXXX setidaknya 3 kali. Setiap kali panggilan telepon berlangsung lebih dari 1 jam. Mereka hanya akan meneruskan panggilan telepon saya ke departemen yang berbeda. Setelah mengirim faks dan dokumen sesuai permintaan mereka, orang dari departemen penipuan mengklaim bahwa mereka tidak pernah menerima faks saya meskipun saya sudah mendapatkan tanda terima pengiriman faks. Ketika saya bertanya tentang proses untuk menyelesaikan masalah ini, dia mengatakan bahwa saya hanya bisa menunggu dan menelepon kembali jika memungkinkan. Namun dia tidak bisa menjelaskan waktu pemrosesan yang diharapkan untuk masalah ini.;1;0;0
10;4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB;0;1;0
