IDE;Text;kategori;;
1;Selamat! Anda memenangkan hadiah uang tunai sebesar Rp10.000.000. Klik tautan ini untuk klaim hadiah Anda.;Fraud;;
2;Bank Anda membutuhkan verifikasi akun. Silakan kirimkan informasi pribadi Anda untuk menghindari pemblokiran.;Fraud;;
3;Kami dari perusahaan undian XYZ, Anda terpilih sebagai pemenang. Segera hubungi nomor ini untuk klaim.;Fraud;;
4;Pembayaran Anda gagal. Silakan masukkan ulang informasi kartu kredit Anda di sini.;Fraud;;
5;Akun Anda telah dibekukan. Verifikasi sekarang untuk menghindari masalah lebih lanjut.;Fraud;;
6;Anda mendapatkan diskon 50% untuk pembelian berikutnya. Klik di sini untuk detail lebih lanjut.;Fraud;;
7;Nomor Anda terpilih untuk menerima voucher belanja gratis. Isi formulir ini untuk klaim.;Fraud;;
8;Transaksi mencurigakan terdeteksi di akun Anda. Segera login untuk mengamankan akun.;Fraud;;
9;Selamat! Anda memenangkan perjalanan gratis ke Bali. Klik di sini untuk informasi lebih lanjut.;Fraud;;
10;Kartu kredit Anda akan diblokir. Perbarui informasi Anda di sini untuk menghindari pemblokiran.;Fraud;;
11;Kami mendeteksi aktivitas tidak biasa di akun PayPal Anda. Silakan login untuk verifikasi.;Fraud;;
12;Akun email Anda hampir penuh. Klik di sini untuk meningkatkan kapasitas penyimpanan Anda.;Fraud;;
13;Anda mendapatkan hadiah spesial dari Bank ABC. Klik di sini untuk klaim hadiah Anda.;Fraud;;
14;Pengiriman paket Anda tertunda. Masukkan detail pengiriman Anda untuk memastikan pengiriman.;Fraud;;
15;Selamat! Anda memenangkan iPhone terbaru. Klik di sini untuk klaim hadiah.;Fraud;;
16;Ada masalah dengan akun Anda. Silakan verifikasi sekarang untuk menghindari pemblokiran.;Fraud;;
17;Kami dari layanan pelanggan XYZ, mohon kirimkan detail kartu kredit Anda untuk verifikasi.;Fraud;;
18;Anda mendapatkan bonus deposit sebesar Rp500.000. Masukkan informasi rekening Anda di sini.;Fraud;;
19;Akun Instagram Anda telah dikunci. Klik di sini untuk membuka kunci.;Fraud;;
20;Anda memenangkan undian dari perusahaan ABC. Hubungi kami segera untuk klaim hadiah.;Fraud;;
21;Pembayaran Anda gagal. Masukkan informasi pembayaran Anda untuk menyelesaikan transaksi.;Fraud;;
22;Kami mendeteksi login mencurigakan di akun Anda. Silakan verifikasi identitas Anda.;Fraud;;
23;Selamat! Anda mendapatkan kupon belanja senilai Rp1.000.000. Klik di sini untuk klaim.;Fraud;;
24;Kartu debit Anda akan dinonaktifkan. Perbarui informasi Anda untuk menghindari masalah.;Fraud;;
25;Anda mendapatkan tawaran kerja dengan gaji tinggi. Kirimkan CV Anda ke email ini.;Fraud;;
26;Akun Anda akan segera diblokir. Verifikasi sekarang untuk menghindari pemblokiran.;Fraud;;
